nama_sertifikasi,score_rating,berbayar_free,lembaga_sertifikasi,available_unavailable,enrollment,metode,masa_berlaku,genre,url,source_file
TypeScript Interactive Class for Beginners,0.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/typescript-interactive-class-for-beginners/,codepolitan_final_full.csv
Bikin Platform Event Management Seperti Goers dengan Express + Xendit,0.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/bikin-platform-event-management-seperti-goers-dengan-express-xendit/,codepolitan_final_full.csv
Vibe Coding 101 Membangun Aplikasi Berbasis AI Smart Ibadah Tracker dengan Antigravity,0.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/vibe-coding-101-membangun-aplikasi-berbasis-ai-dengan-antigravity/,codepolitan_final_full.csv
Warung Go Digital Bangun Aplikasi Kasir Custom Pakai AI,0.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/warung-go-digital-bangun-aplikasi-kasir-custom-pakai-ai/,codepolitan_final_full.csv
Vibe Coding Ramadhan Bikin Aplikasi AI Rekomendasi Menu Sahur & Buka Puasa,0.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/vibe-coding-ramadhan-bikin-aplikasi-ai-rekomendasi-menu-sahur-buka-puasa/,codepolitan_final_full.csv
Vibe Coding 101 Building a Web App AI Product Description Generator,0.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/vibe-coding-101-building-a-web-app-ai-product-description-generator/,codepolitan_final_full.csv
Ruang Fokus Buat Pomodoro sendiri,5.0,Free,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/ruang-fokus-buat-pomodoro-sendiri/,codepolitan_final_full.csv
Production-Ready Image Tools with Vibe Coding Resize Compress Convert,0.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/productionready-image-tools-with-vibe-coding-resize-compress-convert/,codepolitan_final_full.csv
Ngoding Bareng AI Bikin Website Portofolio Siap Online dalam 1 Jam feat Bolt + Copilot,0.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/ngoding-bareng-ai-bikin-website-portofolio-siap-online-dalam-1-jam-feat-bolt-copilot/,codepolitan_final_full.csv
Build Your Own Telegram Bot Otomatisasi Chat dengan N8n,0.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/build-your-own-telegram-bot-otomatisasi-chat-dengan-n8n/,codepolitan_final_full.csv
Build Your Own AI Tools AI Invoice & Quotation Generator,0.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/build-your-own-ai-tools-ai-invoice-quotation-generator/,codepolitan_final_full.csv
Bikin Tools AI-mu Sendiri AI Social Media Caption Generator,0.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/bikin-tools-aimu-sendiri-ai-social-media-caption-generator/,codepolitan_final_full.csv
"AI Starter Kit untuk Programmer Tools, Skill, dan Mindset di Era AI",0.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/ai-starter-kit-untuk-programmer-tools-skill-dan-mindset-di-era-ai/,codepolitan_final_full.csv
AI Assist Coding Website Undangan Pernikahan Online dalam 1 Jam,0.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/ai-assist-coding-website-undangan-pernikahan-online-dalam-1-jam/,codepolitan_final_full.csv
By Ahmad Oriza,5.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/fullstack-development-bangun-aplikasi-nanoconnect-dengan-react-supabase-dan-serverless-function-integrasi-open-ai/,codepolitan_final_full.csv
By Bahrul Rozak,0.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/belajar-load-testing-dengan-k6-komprehensif-part-2-untuk-intermediate/,codepolitan_final_full.csv
By Ridwan Fajar,5.0,Free,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/kelas-devops-pemula/,codepolitan_final_full.csv
By Aditya Fakhri Riansyah,5.0,Free,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/belajar-php-untuk-pemula-konsep-dan-praktik/,codepolitan_final_full.csv
Belajar UI/UX Web dengan Figma - Studi Kasus : Re-design Web DPR RI,4.9,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/belajar-uiux-web-dengan-figma-studi-kasus-redesign-web-dpr-ri/,codepolitan_final_full.csv
Mengenal Server NGINX,5.0,Free,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/mengenal-server-nginx/,codepolitan_final_full.csv
Mengenal CLI di Linux dan praktek SSH,4.0,Free,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/mengenal-cli-di-linux-dan-praktek-ssh/,codepolitan_final_full.csv
Praktek Web Design dengan Figma,4.9,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/praktek-web-design-dengan-figma/,codepolitan_final_full.csv
Deploy Javascript Project di CPanel,0.0,Free,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/deploy-javascript-project-di-cpanel/,codepolitan_final_full.csv
Belajar Interview Kerja!,5.0,Free,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/belajar-interview-kerja/,codepolitan_final_full.csv
"Deploy Laravel Project, Setting SSL di VPS",5.0,Free,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/deploy-laravel-project-setting-ssl-di-vps/,codepolitan_final_full.csv
Belajar Setup VPS untuk pemula,5.0,Free,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/belajar-setup-vps-untuk-pemula/,codepolitan_final_full.csv
Hosting Project & Pointing Domain di Vercel,5.0,Free,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/hosting-project-di-vercel/,codepolitan_final_full.csv
Hosting Project di Netlify,5.0,Free,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/hosting-project-di-netlify/,codepolitan_final_full.csv
Github Pages & Gitlab Pages,0.0,Free,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/github-pages-gitlab-pages/,codepolitan_final_full.csv
Firebase Hosting,5.0,Free,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/firebase-hosting/,codepolitan_final_full.csv
Belajar Shared Hosting dengan CPanel,0.0,Free,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/belajar-shared-hosting-dengan-cpanel/,codepolitan_final_full.csv
English For Developer!,4.0,Free,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/english-for-developer/,codepolitan_final_full.csv
Belajar Freelance untuk Fullstack Developer,5.0,Free,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/belajar-freelance-untuk-fullstack-developer/,codepolitan_final_full.csv
Strategi Karir Full Stack Web Developer,4.5,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/strategi-karir-full-stack-web-developer/,codepolitan_final_full.csv
Berbagi Ilmu Tentang Dunia Kerja IT,5.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/berbagi-ilmu-tentang-dunia-kerja-it/,codepolitan_final_full.csv
Membangun Personal Branding,4.8,Free,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/membangun-personal-branding/,codepolitan_final_full.csv
Kode Etik Programmer dalam Lingkup Pekerjaan,5.0,Free,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/kode-etik-programmer-dalam-lingkup-pekerjaan/,codepolitan_final_full.csv
By Abdul Rozak,0.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/belajar-interface-testing-menggunakan-selenium/,codepolitan_final_full.csv
Security For Developer (Bangun aplikasimu menjadi super tangguh),4.9,Free,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/security-for-developer-bangun-aplikasimu-menjadi-super-tangguh/,codepolitan_final_full.csv
Membuat Landing Page Produk Pro dengan AI Assist Coding,0.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/membuat-landing-page-produk-pro-dengan-ai-assist-coding/,codepolitan_final_full.csv
Tailwind Dasar - Desain Web Kilat jaman Sekarang,4.7,Free,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/tailwind-dasar-desain-web-kilat-jaman-sekarang/,codepolitan_final_full.csv
Filament untuk Pemula: Laravel Admin Tanpa Pusing,4.5,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/filament-untuk-pemula-laravel-admin-tanpa-pusing/,codepolitan_final_full.csv
By Ahmad Hakim,4.2,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/mengembangkan-sistem-streaming-seperti-netflix-menggunakan-laravel-11/,codepolitan_final_full.csv
Live Class - Ethical Hacking for Beginners,5.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/live-class-ethical-hacking-for-beginners/,codepolitan_final_full.csv
By Raden Arya Ahmad Maulana,4.8,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/developer-desain-membangun-dasar-uiux-yang-solid/,codepolitan_final_full.csv
By Tri Wijayanto,5.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/membuat-website-crowd-funding-dengan-tailwind-slicing/,codepolitan_final_full.csv
By Yusuf Fazeri,5.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/membuat-website-ewallet-dengan-tailwind-slicing/,codepolitan_final_full.csv
By Sandhika Galih,4.9,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/panduan-awal-menjadi-fullstack-web-developer/,codepolitan_final_full.csv
By Aldi Zainafif,4.9,Free,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/php-8-dan-mysql-panduan-crud-lengkap-untuk-pemula/,codepolitan_final_full.csv
By Nur Indah Pratiwi,0.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/pengantar-natural-language-processing/,codepolitan_final_full.csv
By Nusendra Hanggarawan,4.8,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/belajar-reactjs/,codepolitan_final_full.csv
By Timotius Pamungkas,5.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/belajar-microservice-dengan-go-golang-protobuf-dan-grpc-api/,codepolitan_final_full.csv
By Faqihza Mukhlish,4.8,Free,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/belajar-python-dasar/,codepolitan_final_full.csv
By Mohammad Ghifari Yusuf,4.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/paham-golang-dasar/,codepolitan_final_full.csv
By Hakim Sembiring Meliala,4.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/jago-react-native-dengan-membuat-movie-app/,codepolitan_final_full.csv
Belajar CSS dari Nol — Ditemani Alucard si Master Styling,4.7,Free,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/belajar-dasar-css/,codepolitan_final_full.csv
By Aulia Rahman,5.0,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/aplikasi-pemasaran-produk-android-olx-clone-kotlin/,codepolitan_final_full.csv
By Toni Haryanto,4.8,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/cara-mudah-buat-toko-online-sendiri-dengan-wordpress/,codepolitan_final_full.csv
By Muhammad Singgih Z.A,4.8,Free,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/cara-kerja-development-team/,codepolitan_final_full.csv
By Bagus Budi Cahyono,4.7,Free,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/proyek-sederhana-svelte-todo-app/,codepolitan_final_full.csv
By Meilan Anastasia Maharani,4.8,Paid,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/membuat-landing-page-website-dengan-bootstrap-4/,codepolitan_final_full.csv
By Viki Andrianto,4.6,Free,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/algoritma-pemrograman-dasar/,codepolitan_final_full.csv
By Galih Pratama,4.7,Free,Codepolitan,Available,0,Self-paced,Lifetime,IT & Programming,https://www.codepolitan.com/course/intro/basic-jquery/,codepolitan_final_full.csv
Lihat semua kelas,4.8,Paid,Dicoding Indonesia,Available,0,Self-paced,Flexible,IT & Programming,https://www.dicoding.com/academies/list,dicoding_academies.csv
Belajar Fundamental Analisis Data,4.8,Paid,Dicoding Indonesia,Available,60979,Self-paced,Flexible,Data Science & AI,https://www.dicoding.com/academies/555-belajar-fundamental-analisis-data,dicoding_academies.csv
Belajar Toolset untuk Pengembangan Front-End Web,4.8,Paid,Dicoding Indonesia,Available,2975,Self-paced,Flexible,Web Development,https://www.dicoding.com/academies/565-belajar-toolset-untuk-pengembangan-front-end-web,dicoding_academies.csv
Belajar Dasar Manajemen Proyek,4.8,Free,Dicoding Indonesia,Available,31108,Self-paced,Flexible,IT & Programming,https://www.dicoding.com/academies/570-belajar-dasar-manajemen-proyek,dicoding_academies.csv
Belajar Pemrograman Fungsional dengan Haskell,4.9,Paid,Dicoding Indonesia,Available,722,Self-paced,Flexible,IT & Programming,https://www.dicoding.com/academies/580-belajar-pemrograman-fungsional-dengan-haskell,dicoding_academies.csv
Belajar Penerapan Data Science,4.8,Paid,Dicoding Indonesia,Available,3389,Self-paced,Flexible,Data Science & AI,https://www.dicoding.com/academies/590-belajar-penerapan-data-science,dicoding_academies.csv
Belajar Dasar Structured Query Language (SQL),4.8,Paid,Dicoding Indonesia,Available,116952,Self-paced,Flexible,IT & Programming,https://www.dicoding.com/academies/600-belajar-dasar-structured-query-language-sql,dicoding_academies.csv
Memulai Pemrograman dengan Haskell,4.8,Free,Dicoding Indonesia,Available,10053,Self-paced,Flexible,Data Science & AI,https://www.dicoding.com/academies/605-memulai-pemrograman-dengan-haskell,dicoding_academies.csv
Menjadi Node.js Application Developer,4.8,Paid,Dicoding Indonesia,Available,1814,Self-paced,Flexible,IT & Programming,https://www.dicoding.com/academies/610-menjadi-node-js-application-developer,dicoding_academies.csv
Belajar Dasar Data Science,4.8,Paid,Dicoding Indonesia,Available,104962,Self-paced,Flexible,Data Science & AI,https://www.dicoding.com/academies/615-belajar-dasar-data-science,dicoding_academies.csv
Belajar Pemrograman Prosedural dengan Python,4.8,Paid,Dicoding Indonesia,Available,6512,Self-paced,Flexible,Data Science & AI,https://www.dicoding.com/academies/620-belajar-pemrograman-prosedural-dengan-python,dicoding_academies.csv
Belajar Dasar AI,4.8,Paid,Dicoding Indonesia,Available,235724,Self-paced,Flexible,Data Science & AI,https://www.dicoding.com/academies/653-belajar-dasar-ai,dicoding_academies.csv
Belajar Penerapan Machine Learning dengan Google Cloud,4.8,Paid,Dicoding Indonesia,Available,3318,Self-paced,Flexible,Data Science & AI,https://www.dicoding.com/academies/658-belajar-penerapan-machine-learning-dengan-google-cloud,dicoding_academies.csv
Belajar Penerapan Machine Learning untuk Android,4.9,Paid,Dicoding Indonesia,Available,3024,Self-paced,Flexible,Android Development,https://www.dicoding.com/academies/663-belajar-penerapan-machine-learning-untuk-android,dicoding_academies.csv
Belajar Strategi Pengembangan Diri,4.8,Paid,Dicoding Indonesia,Available,25645,Self-paced,Flexible,IT & Programming,https://www.dicoding.com/academies/697-belajar-strategi-pengembangan-diri,dicoding_academies.csv
Dev Certification for Machine Learning with Tensorflow (DCML) Preparation,1.1,Paid,Dicoding Indonesia,Available,1,Self-paced,Flexible,Data Science & AI,https://www.dicoding.com/academies/698-dev-certification-for-machine-learning-with-tensorflow-dcml-preparation,dicoding_academies.csv
Dev Certification for Android (DCA) Preparation,1.1,Paid,Dicoding Indonesia,Available,1131,Self-paced,Flexible,Android Development,https://www.dicoding.com/academies/703-dev-certification-for-android-dca-preparation,dicoding_academies.csv
Belajar Fundamental Pemrosesan Data,4.9,Paid,Dicoding Indonesia,Available,39898,Self-paced,Flexible,Data Science & AI,https://www.dicoding.com/academies/708-belajar-fundamental-pemrosesan-data,dicoding_academies.csv
Membangun Sistem Machine Learning,4.8,Paid,Dicoding Indonesia,Available,6874,Self-paced,Flexible,Data Science & AI,https://www.dicoding.com/academies/713-membangun-sistem-machine-learning,dicoding_academies.csv
Belajar Strategi Perencanaan Karier,4.9,Paid,Dicoding Indonesia,Available,343,Self-paced,Flexible,IT & Programming,https://www.dicoding.com/academies/718-belajar-strategi-perencanaan-karier,dicoding_academies.csv
Belajar Back-End Pemula dengan Python,4.8,Paid,Dicoding Indonesia,Available,5502,Self-paced,Flexible,Data Science & AI,https://www.dicoding.com/academies/743-belajar-back-end-pemula-dengan-python,dicoding_academies.csv
Prompt Engineering untuk Software Developer,4.8,Paid,Dicoding Indonesia,Available,28913,Self-paced,Flexible,IT & Programming,https://www.dicoding.com/academies/753-prompt-engineering-untuk-software-developer,dicoding_academies.csv
Belajar Penerapan Machine Learning untuk Flutter,4.9,Paid,Dicoding Indonesia,Available,373,Self-paced,Flexible,Data Science & AI,https://www.dicoding.com/academies/758-belajar-penerapan-machine-learning-untuk-flutter,dicoding_academies.csv
Belajar Fundamental Back-End dengan Python,5.0,Paid,Dicoding Indonesia,Available,275,Self-paced,Flexible,Data Science & AI,https://www.dicoding.com/academies/788-belajar-fundamental-back-end-dengan-python,dicoding_academies.csv
Membangun Proyek Deep Learning Tingkat Mahir,4.9,Paid,Dicoding Indonesia,Available,1627,Self-paced,Flexible,IT & Programming,https://www.dicoding.com/academies/818-membangun-proyek-deep-learning-tingkat-mahir,dicoding_academies.csv
Belajar Matematika untuk Data Science,4.9,Paid,Dicoding Indonesia,Available,1682,Self-paced,Flexible,Data Science & AI,https://www.dicoding.com/academies/831-belajar-matematika-untuk-data-science,dicoding_academies.csv
Pengembangan Generative AI berbasis LLM,4.8,Paid,Dicoding Indonesia,Available,184,Self-paced,Flexible,Data Science & AI,https://www.dicoding.com/academies/857-pengembangan-generative-ai-berbasis-llm,dicoding_academies.csv
AI Praktis untuk Produktivitas,4.8,Paid,Dicoding Indonesia,Available,15609,Self-paced,Flexible,Data Science & AI,https://www.dicoding.com/academies/862-ai-praktis-untuk-produktivitas,dicoding_academies.csv
Belajar Penggunaan Generative AI,4.8,Paid,Dicoding Indonesia,Available,16646,Self-paced,Flexible,Data Science & AI,https://www.dicoding.com/academies/867-belajar-penggunaan-generative-ai,dicoding_academies.csv
Belajar Pemrograman Rust untuk Pemula,4.8,Paid,Dicoding Indonesia,Available,516,Self-paced,Flexible,IT & Programming,https://www.dicoding.com/academies/881-belajar-pemrograman-rust-untuk-pemula,dicoding_academies.csv
Belajar Penerapan AI di Aplikasi Web,4.8,Paid,Dicoding Indonesia,Available,156,Self-paced,Flexible,Web Development,https://www.dicoding.com/academies/882-belajar-penerapan-ai-di-aplikasi-web,dicoding_academies.csv
Belajar Dasar Cyber Security,4.9,Paid,Dicoding Indonesia,Available,247,Self-paced,Flexible,IT & Programming,https://www.dicoding.com/academies/893-belajar-dasar-cyber-security,dicoding_academies.csv
Belajar Fundamental Generative AI,4.8,Paid,Dicoding Indonesia,Available,793,Self-paced,Flexible,Data Science & AI,https://www.dicoding.com/academies/896-belajar-fundamental-generative-ai,dicoding_academies.csv
Membangun Aplikasi Gen AI dengan Microsoft Azure,4.8,Paid,Dicoding Indonesia,Available,38108,Self-paced,Flexible,Data Science & AI,https://www.dicoding.com/academies/899-membangun-aplikasi-gen-ai-dengan-microsoft-azure,dicoding_academies.csv
Belajar Penerapan Data Science dengan Microsoft Fabric,4.8,Paid,Dicoding Indonesia,Available,38111,Self-paced,Flexible,Data Science & AI,https://www.dicoding.com/academies/902-belajar-penerapan-data-science-dengan-microsoft-fabric,dicoding_academies.csv
Belajar Analisis Data untuk Pemula,4.9,Paid,Dicoding Indonesia,Available,186,Self-paced,Flexible,Data Science & AI,https://www.dicoding.com/academies/906-belajar-analisis-data-untuk-pemula,dicoding_academies.csv
Belajar Dasar Pengembangan Aplikasi Mobile,4.8,Paid,Dicoding Indonesia,Available,2376,Self-paced,Flexible,Android Development,https://www.dicoding.com/academies/908-belajar-dasar-pengembangan-aplikasi-mobile,dicoding_academies.csv
Belajar Dasar Automasi,5.0,Paid,Dicoding Indonesia,Available,26,Self-paced,Flexible,IT & Programming,https://www.dicoding.com/academies/926-belajar-dasar-automasi,dicoding_academies.csv
Spec-Driven Development dengan Kiro,4.8,Paid,Dicoding Indonesia,Available,17972,Self-paced,Flexible,IT & Programming,https://www.dicoding.com/academies/929-spec-driven-development-dengan-kiro,dicoding_academies.csv
Belajar Dasar Desain UX bagi Desainer UI/UX Pemula,4.7,Paid,Dicoding Indonesia,Available,51,Self-paced,Flexible,Data Science & AI,https://www.dicoding.com/academies/535-belajar-dasar-desain-ux-bagi-desainer-ui-ux-pemula,dicoding_academies.csv
Memulai Dasar Pemrograman Bagi Pengembang Perangkat Lunak Pemula,5.0,Paid,Dicoding Indonesia,Available,4,Self-paced,Flexible,Data Science & AI,https://www.dicoding.com/academies/525-memulai-dasar-pemrograman-bagi-pengembang-perangkat-lunak-pemula,dicoding_academies.csv
Belajar Dasar DevOps Bagi Insinyur Operasi Pengembang Pemula,5.0,Paid,Dicoding Indonesia,Available,8,Self-paced,Flexible,Cloud & DevOps,https://www.dicoding.com/academies/515-belajar-dasar-devops-bagi-insinyur-operasi-pengembang-pemula,dicoding_academies.csv
Belajar Implementasi CI/CD,4.8,Paid,Dicoding Indonesia,Available,3555,Self-paced,Flexible,IT & Programming,https://www.dicoding.com/academies/428-belajar-implementasi-ci-cd,dicoding_academies.csv
Menjadi Linux System Administrator,4.9,Paid,Dicoding Indonesia,Available,4277,Self-paced,Flexible,IT & Programming,https://www.dicoding.com/academies/423-menjadi-linux-system-administrator,dicoding_academies.csv
Belajar Fundamental Aplikasi Web dengan React,4.9,Paid,Dicoding Indonesia,Available,5975,Self-paced,Flexible,Web Development,https://www.dicoding.com/academies/413-belajar-fundamental-aplikasi-web-dengan-react,dicoding_academies.csv
Belajar Membuat Aplikasi Web dengan React,4.9,Paid,Dicoding Indonesia,Available,37344,Self-paced,Flexible,Web Development,https://www.dicoding.com/academies/403-belajar-membuat-aplikasi-web-dengan-react,dicoding_academies.csv
Belajar Jaringan Komputer untuk Pemula,4.9,Paid,Dicoding Indonesia,Available,51622,Self-paced,Flexible,Cloud & DevOps,https://www.dicoding.com/academies/387-belajar-jaringan-komputer-untuk-pemula,dicoding_academies.csv
Belajar Dasar-Dasar DevOps,4.8,Paid,Dicoding Indonesia,Available,53781,Self-paced,Flexible,Cloud & DevOps,https://www.dicoding.com/academies/382-belajar-dasar-dasar-devops,dicoding_academies.csv
Belajar Pengembangan Aplikasi Android Intermediate,4.8,Paid,Dicoding Indonesia,Available,8759,Self-paced,Flexible,Android Development,https://www.dicoding.com/academies/352-belajar-pengembangan-aplikasi-android-intermediate,dicoding_academies.csv
Belajar Membuat Aplikasi Back-End untuk Pemula dengan Google Cloud,4.8,Paid,Dicoding Indonesia,Available,13071,Self-paced,Flexible,Cloud & DevOps,https://www.dicoding.com/academies/342-belajar-membuat-aplikasi-back-end-untuk-pemula-dengan-google-cloud,dicoding_academies.csv
Belajar Dasar Google Cloud,4.8,Paid,Dicoding Indonesia,Available,18086,Self-paced,Flexible,Cloud & DevOps,https://www.dicoding.com/academies/337-belajar-dasar-google-cloud,dicoding_academies.csv
Belajar Dasar UX Design,4.8,Paid,Dicoding Indonesia,Available,28498,Self-paced,Flexible,IT & Programming,https://www.dicoding.com/academies/335-belajar-dasar-ux-design,dicoding_academies.csv
Menjadi Google Cloud Architect,4.8,Paid,Dicoding Indonesia,Available,4166,Self-paced,Flexible,Cloud & DevOps,https://www.dicoding.com/academies/332-menjadi-google-cloud-architect,dicoding_academies.csv
Belajar Pengembangan Aplikasi Flutter Intermediate,4.8,Paid,Dicoding Indonesia,Available,1979,Self-paced,Flexible,Flutter Development,https://www.dicoding.com/academies/480-belajar-pengembangan-aplikasi-flutter-intermediate,dicoding_academies.csv
Belajar Membuat Aplikasi Android dengan Jetpack Compose,4.8,Paid,Dicoding Indonesia,Available,4,Self-paced,Flexible,Android Development,https://www.dicoding.com/academies/445-belajar-membuat-aplikasi-android-dengan-jetpack-compose,dicoding_academies.csv
Machine Learning Operations (MLOps),4.7,Paid,Dicoding Indonesia,Available,4942,Self-paced,Flexible,Data Science & AI,https://www.dicoding.com/academies/443-machine-learning-operations-mlops,dicoding_academies.csv
Belajar Membangun Arsitektur Microservices,4.8,Paid,Dicoding Indonesia,Available,2187,Self-paced,Flexible,IT & Programming,https://www.dicoding.com/academies/433-belajar-membangun-arsitektur-microservices,dicoding_academies.csv
Menjadi React Web Developer Expert,4.9,Paid,Dicoding Indonesia,Available,3259,Self-paced,Flexible,Web Development,https://www.dicoding.com/academies/418-menjadi-react-web-developer-expert,dicoding_academies.csv
Meniti Karier sebagai Software Developer,4.9,Paid,Dicoding Indonesia,Available,20755,Self-paced,Flexible,Data Science & AI,https://www.dicoding.com/academies/292-meniti-karier-sebagai-software-developer,dicoding_academies.csv
Pengenalan ke Logika Pemrograman (Programming Logic 101),4.9,Paid,Dicoding Indonesia,Available,51047,Self-paced,Flexible,IT & Programming,https://www.dicoding.com/academies/302-pengenalan-ke-logika-pemrograman-programming-logic-101,dicoding_academies.csv
Belajar Dasar Git dengan GitHub,4.8,Paid,Dicoding Indonesia,Available,48016,Self-paced,Flexible,IT & Programming,https://www.dicoding.com/academies/317-belajar-dasar-git-dengan-github,dicoding_academies.csv
Memulai Pemrograman Dengan C,4.8,Free,Dicoding Indonesia,Available,57831,Self-paced,Flexible,Data Science & AI,https://www.dicoding.com/academies/120-memulai-pemrograman-dengan-c,dicoding_academies.csv
